,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-13 08:00:00,2384.9271976246637,2590.0009216815233,1928.6519440636039,1342.421498119831,1491.6853728266287,2582.1374497413635,1527.241737395525,1598.2827806212008,1332.9002258591354,0.611022,0.522004,0.408803,0.392376,0.575932,0.537261,0.464448,0.386153
2023-03-13 09:00:00,5922.089618676315,3694.9854658842087,1958.5112189799547,2044.5886948108673,2725.2208415055065,11145.085154771805,4623.892753690481,4304.664728850126,4316.872880831361,0.560998,0.316298,0.319183,0.349703,1.000000,0.452355,0.562180,0.570606
2023-03-13 10:00:00,7103.409439635211,2964.1245990991592,2237.5901779532433,2401.4614160060883,3046.259065252263,9674.7142496109,2972.334613636136,2529.0605494081974,2608.515677794814,0.353176,0.335221,0.344382,0.375505,0.732376,0.394367,0.332747,0.424963
2023-03-13 11:00:00,7855.464168365071,3075.6846938729286,2477.2452646791935,2589.0242516994476,3254.213188706897,4873.175976037979,6020.972988709807,2281.654626764357,2610.8047108650208,0.388639,0.351177,0.360856,0.392966,0.499387,0.548996,0.353696,0.355984
2023-03-13 12:00:00,6195.724455089507,3353.5080763697624,2674.809102162719,2789.96719121933,3424.9943172100466,4590.0472004413605,3511.857223957777,5012.087091624737,2728.449562702328,0.369996,0.358168,0.371338,0.395917,0.444223,0.431615,0.480183,0.360948
2023-03-13 13:00:00,5829.8348025129135,4734.7442182302475,2947.131531968713,3575.0582926273346,4089.293637404917,6454.1316449046135,3597.708039075136,8070.545437240973,3466.9911252707243,0.456879,0.370018,0.409200,0.430453,0.546050,0.395767,0.903249,0.405644
2023-03-13 14:00:00,5471.726307446376,11791.511577159166,3349.304561585188,3517.3935943841934,5297.3933021906705,14834.089136064053,3830.121591374278,4425.189630294219,4744.57850510627,0.856412,0.375565,0.409590,0.492963,1.000000,0.408195,0.716829,0.456672
2023-03-13 15:00:00,4036.2298214933526,7673.998000562191,4367.629646107554,4304.058861017227,5740.672221381334,7165.565036118031,4553.5004746466875,3818.6660317517817,5999.559918697923,0.834119,0.430679,0.451159,0.662600,0.787543,0.449382,0.414565,0.609722
2023-03-13 16:00:00,1476.2473504004245,1819.4293418973684,1514.5117108151317,1740.3182369172573,2239.503913506225,1932.838284254074,1513.6043701171875,1329.1562899686396,1802.2226701714098,0.276981,0.262591,0.281966,0.334357,0.341628,0.260869,0.258889,0.320954
2023-03-13 17:00:00,715.9363716357057,825.6821875199676,711.4982207734138,839.3243884891272,1101.8232450746436,884.1442882716656,711.3502969313413,645.6166030429304,873.1868729609996,0.207468,0.200765,0.208452,0.223719,0.210899,0.200774,0.197206,0.210359
2023-03-14 08:00:00,25.677104838262576,85.19132486084709,48.11770072334912,61.41285168926697,90.48389422523906,92.5281452058116,55.49870731908595,46.8763034644071,75.41000738245202,0.024087,0.008906,0.012425,0.022748,0.063149,0.010786,0.008638,0.016447
2023-03-14 09:00:00,41.07959828672237,78.22863659786526,47.09000855998602,66.33983910104143,94.5966393709241,76.47927943256218,52.57836645975476,49.483320804079995,81.24328074834193,0.017842,0.008681,0.015432,0.026753,0.017015,0.010028,0.011075,0.021598
2023-03-14 10:00:00,204.01167865279595,668.4726272511762,490.4660309269093,599.9317406581249,680.7255123350769,627.6766310159583,561.5098627279513,471.87559875519946,662.3846630081534,0.208891,0.211000,0.204907,0.204058,0.207808,0.211879,0.196853,0.201543
2023-03-14 11:00:00,60.942750869364026,111.63417129620211,53.29396256280597,83.61353631690145,134.34485024784226,134.91989247570746,67.42958474706393,59.3509984172415,99.9493729157839,0.066782,0.021444,0.037800,0.092506,0.101473,0.028342,0.022766,0.048606
2023-03-14 12:00:00,83.63150422413909,133.31087749218568,74.4761273227632,93.04370238003321,135.2903773265425,157.68619922571816,77.06472745339852,75.08262777421623,101.28012375743128,0.098694,0.033096,0.045289,0.093490,0.142877,0.034863,0.030649,0.049419
2023-03-14 13:00:00,106.22418563743489,158.14484439603984,87.29684950062074,107.7849913041573,149.1808374557877,197.06407661898993,91.68075859011151,80.64089930977207,108.50766452006064,0.145227,0.044483,0.060866,0.115677,0.218761,0.048104,0.034905,0.057149
2023-03-14 14:00:00,127.00336090865292,171.2715188463917,91.34405337081989,125.67730382760055,167.13121828547446,247.2490710368147,113.36761363572441,71.24833856965415,114.5026924997801,0.174893,0.051088,0.086050,0.148399,0.289681,0.075503,0.030543,0.065100
2023-03-14 15:00:00,4286.856619784455,8395.387380301952,4493.6078311651945,4343.50381565094,6006.590244223655,7626.702220380306,4621.360551014543,4009.6096798758954,6505.926617845893,0.867379,0.437227,0.452757,0.689706,0.800089,0.452592,0.423980,0.662776
2023-03-14 16:00:00,1155.9347325283404,1290.4526246637106,1072.3616333045065,1233.651422470808,1661.8910248173634,1402.4847865104675,1080.9360931962729,958.6359035782516,1320.8516821451485,0.235695,0.225233,0.234712,0.259236,0.243774,0.226779,0.217028,0.237470
2023-03-14 17:00:00,501.4115507994469,531.0532096028328,451.7067955210805,532.7602543383837,724.6025389205024,578.9946983978152,452.19270447455347,411.4127902938053,564.7907847762108,0.190143,0.185317,0.190244,0.201534,0.192977,0.185348,0.182636,0.192140
2023-03-15 08:00:00,1465.5933625321402,1521.8032629191875,1204.8761702924967,1168.9962348341942,1368.4391066533717,1854.6012701690197,1232.2322509251535,1059.8784987609833,1124.2520524393767,0.485077,0.402743,0.308525,0.300495,0.457475,0.405568,0.360299,0.315750
2023-03-15 09:00:00,2318.8044008607603,2067.4276215583086,1561.3800473809242,1648.3778264820576,2054.2212866100017,3378.904791712761,2039.8329415023327,1590.9790409430861,1903.7114134579897,0.330358,0.271421,0.280030,0.304027,0.452115,0.296186,0.296330,0.305843
2023-03-15 10:00:00,3999.8449840181984,2895.011335104704,2196.0630419403315,2270.2103944420815,2918.5660286486964,5479.484893679619,2889.6911348327994,2156.9062344133854,2510.472140863538,0.344801,0.327566,0.334853,0.359035,0.492121,0.385426,0.311958,0.362334
2023-03-15 11:00:00,8024.707772900769,3078.110896408558,2480.7250737696886,2611.689295053482,3284.208505422226,4815.159751176834,6100.497895002365,2304.131157103926,2638.7036570608616,0.388966,0.351770,0.362895,0.396368,0.496728,0.552878,0.367376,0.359584
2023-03-15 12:00:00,6398.868112834823,3257.649214923382,2615.9105825722218,2766.232335329056,3370.19589000789,4427.435185551643,3401.3044874221087,5251.275553209707,2685.184123814106,0.365835,0.357659,0.370439,0.398528,0.437502,0.425594,0.496259,0.362976
2023-03-15 13:00:00,6455.90164304375,4587.2141280174255,2797.1980476379395,3470.051720261574,3907.0927585491445,6404.012104153633,3398.1929910182953,8024.313415300101,3569.000353075564,0.451392,0.345719,0.404348,0.424846,0.558030,0.385193,0.920678,0.414520
2023-03-15 14:00:00,5085.001156044708,10343.566509485245,3472.413822591305,3637.521982908249,5217.005915674177,12721.571316182613,3946.9956377893686,4106.813031088561,4631.796987559646,0.769539,0.381827,0.415720,0.490247,0.908560,0.414527,0.680081,0.452634
