,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-13 08:00:00,2100.7957491188804,1256.1781383901834,1034.8914890522137,561.2510271221399,718.4053235235478,1613.0217858287506,658.4695367515087,1007.2106113652699,482.86646100506186,0.530913,0.223689,0.379242,0.401741,0.565934,0.530800,0.434848,0.187305
2023-03-13 09:00:00,829.3946793365318,954.4607875943184,631.8413060549647,669.4414447303861,836.5361652588472,2553.6197170894593,1126.8225362449884,969.0597447883338,964.5628275200725,0.245952,0.230255,0.245884,0.242433,0.319926,0.257850,0.230182,0.223961
2023-03-13 10:00:00,1830.4561920833532,2115.5353817790747,1746.869021087885,2304.883216401562,2986.352858530823,2897.1092153787613,1557.5277631878853,1584.8366878330708,2340.154027581215,0.300397,0.283366,0.336619,0.371940,0.339407,0.281084,0.291875,0.331198
2023-03-13 11:00:00,1323.3245525375319,2212.121124908328,1608.067490439862,2135.397589415312,2746.974340409972,2267.5857473015785,1596.9378433525562,1568.8980386033654,2255.806969463825,0.308349,0.290094,0.333508,0.366653,0.311909,0.285581,0.294285,0.328867
2023-03-13 12:00:00,1181.803270285144,1410.062036043033,1586.3392634056509,2090.031660683453,2428.7096543584485,1262.429260507226,1232.3764445856214,1255.7478684037924,1655.5847442555241,0.266248,0.272411,0.330022,0.352681,0.266832,0.271290,0.283590,0.319226
2023-03-13 13:00:00,1323.3141290479348,1646.8261540476233,1821.44394209655,2270.761107780505,2517.444023688673,1514.1440696474165,1452.3464917894453,1333.9652122668922,1755.8861711937934,0.277971,0.287823,0.342258,0.359921,0.279466,0.285277,0.290802,0.323202
2023-03-13 14:00:00,1469.291394161496,1930.463287963532,2133.337234248873,2492.9928571833298,2556.968339098472,1831.782191215083,1766.2647546054795,1420.3124113921076,1849.47371330054,0.293378,0.307402,0.355113,0.357006,0.294956,0.301734,0.295496,0.322236
2023-03-13 15:00:00,3507.9302619357436,7420.62317854166,4146.74089898169,4254.2263712883,5723.621427512844,6305.507443040609,3813.4173881411552,2551.483052585274,5889.524692680687,0.821745,0.417657,0.447637,0.661870,0.746708,0.407694,0.350956,0.588695
2023-03-13 16:00:00,922.2603906445045,330.1497343033552,632.016115908511,661.8366669639945,769.3198101353482,569.4844439318404,519.4429437145591,504.84678493533283,397.16240130737424,0.213985,0.215787,0.222857,0.226039,0.221928,0.220483,0.208130,0.207343
2023-03-13 17:00:00,470.6442859812615,166.020127505064,328.1922708135098,357.8142585325986,414.15729109388485,279.7463488136418,257.2184272473678,254.78869354643393,210.14358852244914,0.083718,0.174646,0.179083,0.183091,0.164517,0.156418,0.156776,0.127820
