,avg_wpi,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,dgp1,dgp2,dgp3,dgp4,dgp5,dgp6,dgp7,dgp8
2023-03-13 08:00:00,490.6706299662668,1498.3113311530324,1144.8644536873908,1234.6366099437582,1421.0453938753635,1156.0498893312179,952.8440933769743,786.245296093286,1129.3339555946295,0.544356,0.514852,0.386064,0.387344,0.462040,0.422505,0.424862,0.399797
2023-03-13 09:00:00,877.1235175999543,2483.055949818343,1485.5534430714324,1878.4816248915158,2535.3223088178784,2041.9505218230188,1246.7760950406082,1261.2843708060682,1938.7598242107779,0.521297,0.267783,0.308557,0.337138,0.609471,0.262946,0.270837,0.484765
2023-03-13 10:00:00,1245.8532550165949,2196.155075073242,1744.0672772750258,2237.8483049422503,2957.4283875087276,3164.1238582134247,1626.6410248279572,1541.7700441954657,2319.282061783597,0.304777,0.291011,0.334504,0.369592,0.354261,0.283595,0.293092,0.325454
2023-03-13 11:00:00,1105.3958048687982,2311.796574003529,1872.117203803733,2394.870857418515,3130.379720627796,2521.0404764134437,1708.8767609894276,1649.3308914005756,2320.3786118598655,0.313588,0.291648,0.346676,0.385039,0.324956,0.289890,0.301830,0.326074
2023-03-13 12:00:00,5581.443005717307,1570.3897097110748,1742.3298482745886,1759.829864025116,2066.49633281189,2881.881863437593,2486.2538246810436,4197.567126870155,1408.9400163032115,0.284150,0.310846,0.308037,0.323185,0.363341,0.375509,0.434867,0.308761
2023-03-13 13:00:00,3589.539028000364,868.0816751820967,1225.7588116098195,1252.1292394381016,1560.6126947863959,1884.0364851756021,1731.332893434912,6704.108236094937,1301.2129617407918,0.273772,0.266541,0.264328,0.285077,0.320227,0.301490,0.836946,0.280581
2023-03-13 14:00:00,2510.5280503723247,2291.429471194744,2454.5814547240734,2565.9571834802628,2582.8713789019675,3010.9805642962456,2826.077194020152,3773.3040979150683,2239.9105059579015,0.341574,0.325085,0.361964,0.358217,0.358268,0.355106,0.690474,0.335171
2023-03-13 15:00:00,1820.0162301831333,1359.3330048918724,1978.264401242137,1936.5032646656036,1936.240128319827,1944.2514760755002,1919.4535152465105,2331.6731516458094,1319.9810664020479,0.266737,0.290534,0.319688,0.323877,0.309451,0.306439,0.329632,0.437191
2023-03-13 16:00:00,1476.2473504004245,1819.4293418973684,1514.5117108151317,1740.3182369172573,2239.503913506225,1932.838284254074,1513.6043701171875,1329.1562899686396,1802.2226701714098,0.276981,0.262591,0.281966,0.334357,0.341628,0.260869,0.258889,0.320954
2023-03-13 17:00:00,715.9363716357057,825.6821875199676,711.4982207734138,839.3243884891272,1101.8232450746436,884.1442882716656,711.3502969313413,645.6166030429304,873.1868729609996,0.207468,0.200765,0.208452,0.223719,0.210899,0.200774,0.197206,0.210359
