time,east,south,west,north
2023-03-13 08:00:00, 80,70,-1,-1
2023-03-13 09:00:00, 50,50,-1,-1
2023-03-13 10:00:00, 10,40,-1,-1
2023-03-13 11:00:00, -50,40,-1,-1
2023-03-13 12:00:00, -1,30,-70,-1
2023-03-13 13:00:00, -1,20,-20,-1
2023-03-13 14:00:00, -1,10,10,-1
2023-03-13 15:00:00, -1,0,30,-1
2023-03-13 16:00:00, -1,-1,-1,-1
2023-03-13 17:00:00, -1,-1,-1,-1
2023-03-14 08:00:00, -1,-1,-1,-1
2023-03-14 09:00:00, -1,-1,-1,-1
2023-03-14 10:00:00, -1,-1,-1,-1
2023-03-14 11:00:00, -50,30,-1,-1
2023-03-14 12:00:00, -1,30,-70,-1
2023-03-14 13:00:00, -1,20,-20,-1
2023-03-14 14:00:00, -1,10,10,-1
2023-03-14 15:00:00, -1,0,30,-1
2023-03-14 16:00:00, -1,-1,-1,-1
2023-03-14 17:00:00, -1,-1,-1,-1
2023-03-15 08:00:00, -1,-1,-1,-1
2023-03-15 09:00:00, -1,50,-1,-1
2023-03-15 10:00:00, 0,40,-1,-1
2023-03-15 11:00:00, -50,30,-1,-1
2023-03-15 12:00:00, -1,30,-70,-1
2023-03-15 13:00:00, -1,20,-20,-1
2023-03-15 14:00:00, -1,10,10,-1
2023-03-15 15:00:00, -1,-1,-1,-1
2023-03-15 16:00:00, -1,-1,-1,-1
2023-03-15 17:00:00, -1,-1,-1,-1
2023-03-16 08:00:00, 70,70,-1,-1
2023-03-16 09:00:00, 40,50,-1,-1
2023-03-16 10:00:00, 0,40,-1,-1
2023-03-16 11:00:00, -50,30,-1,-1
2023-03-16 12:00:00, -1,30,-70,-1
2023-03-16 13:00:00, -1,20,-1,-1
2023-03-16 14:00:00, -1,-1,-1,-1
2023-03-16 15:00:00, -1,-1,-1,-1
2023-03-16 16:00:00, -1,-1,-1,-1
2023-03-16 17:00:00, -1,-1,-1,-1
2023-03-17 08:00:00, -1,-1,-1,-1
2023-03-17 09:00:00, 40,50,-1,-1
2023-03-17 10:00:00, 0,40,-1,-1
2023-03-17 11:00:00, -50,30,-1,-1
2023-03-17 12:00:00, -1,20,-70,-1
2023-03-17 13:00:00, -1,20,-30,-1
2023-03-17 14:00:00, -1,10,10,-1
2023-03-17 15:00:00, -1,0,30,-1
2023-03-17 16:00:00, -1,-1,-1,-1
2023-03-17 17:00:00, -1,-1,-1,-1
2023-03-18 08:00:00, 70,60,-1,-1
2023-03-18 09:00:00, 40,50,-1,-1
2023-03-18 10:00:00, 0,40,-1,-1
2023-03-18 11:00:00, -50,30,-1,-1
2023-03-18 12:00:00, -1,20,-70,-1
2023-03-18 13:00:00, -1,20,-30,-1
2023-03-18 14:00:00, -1,10,0,-1
2023-03-18 15:00:00, -1,0,30,-1
2023-03-18 16:00:00, -1,-1,-1,-1
2023-03-18 17:00:00, -1,-1,-1,-1
2023-03-19 08:00:00, 70,60,-1,-1
2023-03-19 09:00:00, 40,50,-1,-1
2023-03-19 10:00:00, 0,40,-1,-1
2023-03-19 11:00:00, -50,30,-1,-1
2023-03-19 12:00:00, -1,20,-70,-1
2023-03-19 13:00:00, -1,20,-30,-1
2023-03-19 14:00:00, -1,10,0,-1
2023-03-19 15:00:00, -1,0,30,-1
2023-03-19 16:00:00, -1,-1,-1,-1
2023-03-19 17:00:00, -1,-1,-1,-1
2023-03-20 08:00:00, 70,60,-1,-1
2023-03-20 09:00:00, 40,50,-1,-1
2023-03-20 10:00:00, -1,-1,-1,-1
2023-03-20 11:00:00, -1,-1,-1,-1
2023-03-20 12:00:00, -1,20,-1,-1
2023-03-20 13:00:00, -1,20,-30,-1
2023-03-20 14:00:00, -1,10,0,-1
2023-03-20 15:00:00, -1,-10,30,-1
2023-03-20 16:00:00, -1,-1,-1,-1
2023-03-20 17:00:00, -1,-1,-1,-1
